団体コード,都道府県,市区町村,受入件数,受入額_円,返礼品調達費_円,送付費_円,広報費_円,決済費_円,事務費_円,その他費_円,経費合計_円,返礼品率,送付費率,広報費率,決済費率,事務費率,経費率合計,ポータル費_円,年度,受入額_億円,経費合計_億円,ポータル費_億円
010006,北海道,0,8046,1445130592,402811766.0,4585737.0,1080599.0,4731415.0,253629728.0,0.0,666839245.0,0.2787372769145558,0.0031732336339607,0.0007477517990291,0.0032740397485129,0.1755064417043356,0.4614387438003942,170100737.0,2024,14.45,6.67,1.7
011002,北海道,札幌市,208028,3904088764,1012612291.0,277639427.0,33985966.0,68417053.0,537458106.0,0.0,1930112843.0,0.2593722510454683,0.0711150395862259,0.0087052236909642,0.0175244614392174,0.1376654421784555,0.4943824179403314,557818222.0,2024,39.04,19.3,5.58
012025,北海道,函館市,104180,2222260040,543414436.0,129563503.0,23834431.0,36947246.0,281840177.0,0.0,1015599793.0,0.2445323347487272,0.0583025841566228,0.0107253114266501,0.0166259777591104,0.1268259213264708,0.4570121294175815,381551830.0,2024,22.22,10.16,3.82
012033,北海道,小樽市,39339,852067410,217862359.0,51231359.0,0.0,2933725.0,146066598.0,0.0,418094041.0,0.255686764266691,0.0601259459037401,0.0,0.0034430667874035,0.1714261058288803,0.4906818827867152,98665252.0,2024,8.52,4.18,0.99
012041,北海道,旭川市,174779,3699166529,781656732.0,238132101.0,72821157.0,45198058.0,505966328.0,0.0,1643774376.0,0.2113061755593107,0.0643745284601649,0.0196263554048826,0.0122184437077014,0.1368371283184261,0.4443626314504859,666558619.0,2024,36.99,16.44,6.67
012050,北海道,室蘭市,3653,83187000,19453444.0,4995627.0,0.0,890951.0,12429000.0,41250.0,37810272.0,0.2338519720629425,0.0600529770276605,0.0,0.0107102191448183,0.149410364600238,0.4545214035846947,5941626.0,2024,0.83,0.38,0.06
012068,北海道,釧路市,98806,1937215124,481683697.0,168623934.0,20927807.0,5799607.0,291341847.0,6320.0,968383212.0,0.2486474997187767,0.0870445062662023,0.010803037174719,0.0029937857330087,0.1503920981157898,0.4998841894236626,280030284.0,2024,19.37,9.68,2.8
012076,北海道,帯広市,71452,1138555984,277210163.0,107926924.0,3292382.0,13698488.0,138456193.0,0.0,540584150.0,0.2434752150053255,0.0947928125772337,0.0028917172684237,0.0120314575589635,0.1216068379119774,0.4747980403219241,536953111.0,2024,11.39,5.41,5.37
012084,北海道,北見市,260234,3088832700,823553097.0,253920309.0,50612511.0,7155996.0,380405798.0,0.0,1515647711.0,0.2666227591413416,0.0822059119614992,0.0163856433532317,0.0023167314953639,0.1231551964598147,0.4906862424112513,279523563.0,2024,30.89,15.16,2.8
012092,北海道,夕張市,11583,298973049,73613346.0,21988402.0,0.0,1310237.0,37056390.0,0.0,133968375.0,0.246220675228823,0.0735464352842051,0.0,0.0043824585673606,0.1239455868144155,0.4480951558948044,24491832.0,2024,2.99,1.34,0.24
012106,北海道,岩見沢市,7411,187283500,49288499.0,10602320.0,132000.0,2395654.0,31125939.0,0.0,93544412.0,0.263175875077089,0.0566110735863009,0.0007048138250299,0.0127915913574874,0.1661969100321171,0.4994802638780244,16427089.0,2024,1.87,0.94,0.16
012114,北海道,網走市,92202,2106549700,499093425.0,121993973.0,11977882.0,8764353.0,314933504.0,0.0,956763137.0,0.2369245904808227,0.0579117468721483,0.0056860191810333,0.0041605251468788,0.1495020525744063,0.4541849342552896,413006579.0,2024,21.07,9.57,4.13
012122,北海道,留萌市,132211,1939497375,524133611.0,249351758.0,10003448.0,14515178.0,138952145.0,0.0,936956140.0,0.2702419800903314,0.1285651433274046,0.0051577527914932,0.0074839895052706,0.0716433787387827,0.4830922444532826,228759349.0,2024,19.39,9.37,2.29
012131,北海道,苫小牧市,41586,828269000,193017732.0,63346933.0,7401203.0,12393524.0,126721352.0,1155000.0,404035744.0,0.2330374938576718,0.0764811106053709,0.0089357479273038,0.0149631629337811,0.1529954060818405,0.4878073959064024,48954840.0,2024,8.28,4.04,0.49
012149,北海道,稚内市,92603,1865528000,472019940.0,137393485.0,15323652.0,2158105.0,276289047.0,1614346.0,904798575.0,0.2530221685227989,0.0736485783113413,0.0082141098927488,0.001156833346913,0.1481023318867366,0.4850093780420342,227689423.0,2024,18.66,9.05,2.28
012157,北海道,美唄市,46429,970319700,235089335.0,111631921.0,6471557.0,88634134.0,42594428.0,0.0,484421375.0,0.2422802865900795,0.1150465367239271,0.0066695100594164,0.0913452895988816,0.0438973134318513,0.4992389364041563,80689109.0,2024,9.7,4.84,0.81
012165,北海道,芦別市,11899,278873000,59444051.0,13811709.0,820691.0,997579.0,39782121.0,0.0,114856151.0,0.2131581436711334,0.0495268778261072,0.0029428843954057,0.0035771802935386,0.1426531826315204,0.4118582688177055,29486832.0,2024,2.79,1.15,0.29
012173,北海道,江別市,17316,269995325,52431332.0,25810482.0,0.0,511527.0,51127394.0,101502.0,129982237.0,0.1941934809426793,0.0955960330053863,0.0,0.0018945772486986,0.1893639973210647,0.481424028360491,31645120.0,2024,2.7,1.3,0.32
012181,北海道,赤平市,50706,1635633259,361353202.0,145843754.0,21414460.0,9041163.0,260724671.0,0.0,798377250.0,0.2209255650749762,0.0891665373013792,0.0130924581547653,0.0055276223751573,0.1594028915500305,0.4881150744563088,174323258.0,2024,16.36,7.98,1.74
012190,北海道,紋別市,760997,13083317250,3343832756.0,1320969176.0,14375372.0,20159558.0,1753880079.0,0.0,6453216941.0,0.2555798878911998,0.1009659210090621,0.0010987558984706,0.0015408598304837,0.134054693124559,0.4932401177537753,1530925574.0,2024,130.83,64.53,15.31
012203,北海道,士別市,4795,120339900,35287400.0,8007323.0,1220510.0,3140490.0,12032165.0,0.0,59687888.0,0.2932310896053595,0.0665392193279203,0.0101421889165605,0.0260968307269658,0.0999848346225981,0.4959941631994044,11273146.0,2024,1.2,0.6,0.11
012211,北海道,名寄市,24136,259327500,30783648.0,22110280.0,1872242.0,1487934.0,38896752.0,0.0,95150856.0,0.1187056829684472,0.0852600669038185,0.007219604554087,0.0057376637649304,0.1499908494085663,0.3669138675998496,36346701.0,2024,2.59,0.95,0.36
012220,北海道,三笠市,97722,1703262500,496122237.0,10902925.0,192500.0,14635752.0,328594305.0,0.0,850447719.0,0.291277613990797,0.0064012006370127,0.0001130183985146,0.0085927753355692,0.1929205304525873,0.499305138814481,207944641.0,2024,17.03,8.5,2.08
012238,北海道,根室市,672865,14690953403,3790532100.0,1355657500.0,3960580.0,61280472.0,1996734279.0,0.0,7208164931.0,0.2580181146872296,0.0922783881217106,0.0002695931224716,0.0041713066755412,0.1359159085340405,0.4906533111409937,1785881032.0,2024,146.91,72.08,17.86
012246,北海道,千歳市,387226,7476380138,2047182926.0,698561516.0,1107375.0,161466170.0,802101317.0,216858.0,3710636162.0,0.2738200690993275,0.0934357942086759,0.0001481164653963,0.0215968379108119,0.1072847156236988,0.4963145390561466,402502181.0,2024,74.76,37.11,4.03
012254,北海道,滝川市,47832,1501224200,404641234.0,99896463.0,0.0,8190470.0,235033527.0,0.0,747761694.0,0.2695408414013043,0.0665433337672014,0.0,0.0054558606236163,0.1565612431507565,0.4981012789428787,149211344.0,2024,15.01,7.48,1.49
012262,北海道,砂川市,50685,1517467598,417855358.0,18821433.0,900000.0,20715518.0,254594366.0,0.0,712886675.0,0.2753636114212436,0.0124031860876676,0.0005930933887393,0.0136513741890125,0.1677758169832104,0.4697870820698736,174022914.0,2024,15.17,7.13,1.74
012271,北海道,歌志内市,931,11813400,2607545.0,702160.0,0.0,559164.0,1153561.0,0.0,5022430.0,0.2207277329134711,0.0594375878239964,0.0,0.0473330285946467,0.0976485177848883,0.4251468671170027,559164.0,2024,0.12,0.05,0.01
012289,北海道,深川市,88018,1607660700,406485540.0,12868064.0,4565668.0,1006450.0,307514029.0,26845902.0,759285653.0,0.2528428666571248,0.0080042163125589,0.0028399450207372,0.0006260338391054,0.1912804293841356,0.4722922274581944,184723200.0,2024,16.08,7.59,1.85
012297,北海道,富良野市,151326,2296084000,591591617.0,197250172.0,3958812.0,4142383.0,314619401.0,0.0,1111562385.0,0.257652427785743,0.0859072107118032,0.0017241581753977,0.0018041077765447,0.1370243427505265,0.4841122472000153,274429850.0,2024,22.96,11.12,2.74
012301,北海道,登別市,57016,1413379920,292443349.0,73236416.0,5062945.0,3937182.0,238240205.0,312711.0,613232808.0,0.206910643671802,0.0518165108784055,0.0035821543297431,0.0027856501597956,0.168560626643118,0.4338768361729661,331204969.0,2024,14.13,6.13,3.31
012319,北海道,恵庭市,129859,2632766900,708785149.0,104699551.0,13829108.0,44100402.0,393744217.0,0.0,1265158427.0,0.2692168262218732,0.0397678772853001,0.0052526898602379,0.0167505911746307,0.1495552899119173,0.4805432744539594,441403959.0,2024,26.33,12.65,4.41
012335,北海道,伊達市,17720,398354500,100167985.0,27129569.0,443950.0,5346185.0,64303624.0,0.0,197391313.0,0.2514543829679343,0.0681040856824762,0.0011144596082132,0.0134206717885702,0.1614231143366022,0.4955167143837963,26919240.0,2024,3.98,1.97,0.27
012343,北海道,北広島市,20899,538910590,135548006.0,22134116.0,2431381.0,6006498.0,96139967.0,0.0,262259968.0,0.251522253440965,0.0410719633473894,0.0045116593459408,0.0111456299272203,0.1783968784135416,0.4866483844750573,70067636.0,2024,5.39,2.62,0.7
012351,北海道,石狩市,44662,904128088,193890637.0,61599955.0,9900000.0,1943479.0,184684837.0,0.0,452018908.0,0.2144504076064054,0.0681318895160792,0.0109497759569659,0.0021495615784917,0.2042684432119976,0.49995007786994,187721966.0,2024,9.04,4.52,1.88
012360,北海道,北斗市,13020,257980800,58384250.0,17550578.0,375416.0,2232198.0,37130604.0,563159.0,116236205.0,0.2263123844875277,0.0680305588632952,0.0013767613713888,0.0086525741450526,0.14392778067205,0.4503778149381659,97650982.0,2024,2.58,1.16,0.98
013030,北海道,当別町,122889,2202849500,598107796.0,167813166.0,13508311.0,28024696.0,246704905.0,0.0,1054158874.0,0.2715155057120334,0.0761800413509865,0.0061321987725443,0.0127220202741948,0.1119935360994929,0.4785433022092522,166215426.0,2024,22.03,10.54,1.66
013048,北海道,新篠津村,5473,228729500,68009832.0,15381868.0,0.0,4179934.0,26478788.0,0.0,114050422.0,0.297337387612879,0.0672491654989846,0.0,0.0182745732404434,0.1157646390168299,0.4986257653691369,19988060.0,2024,2.29,1.14,0.2
013315,北海道,松前町,1080,23730000,6039605.0,2630034.0,0.0,1528369.0,1509266.0,0.0,11707274.0,0.2545134850400337,0.110831605562579,0.0,0.0644066160977665,0.063601601348504,0.4933533080488833,8598105.0,2024,0.24,0.12,0.09
013323,北海道,福島町,3168,44528000,9094515.0,2278849.0,51592.0,1034092.0,8009430.0,0.0,20468478.0,0.2042426113905857,0.0511778880704276,0.0011586417535034,0.0232234099892202,0.1798740118577075,0.4596765630614445,3496038.0,2024,0.45,0.2,0.03
013331,北海道,知内町,20556,394380666,100585963.0,38494967.0,1778046.0,6594994.0,48495030.0,51561.0,196000561.0,0.2550479059234612,0.0976086566069139,0.0045084512332559,0.0167224069751938,0.1229650289195464,0.4969831888259958,55090024.0,2024,3.94,1.96,0.55
013340,北海道,木古内町,7841,168310890,44602386.0,18901248.0,1469494.0,2524663.0,16529534.0,0.0,84027325.0,0.2650000008912079,0.1122996141247901,0.008730831379954,0.0149999979205148,0.0982083452829463,0.4992387895994133,79761831.0,2024,1.68,0.84,0.8
013374,北海道,七飯町,4157,94942000,25092047.0,5790486.0,0.0,1273212.0,14366644.0,0.0,46522389.0,0.264288165406248,0.0609897200396031,0.0,0.0134104189926481,0.1513202165532641,0.4900085209917634,18152222.0,2024,0.95,0.47,0.18
013439,北海道,鹿部町,100180,1189632666,326329109.0,71370536.0,1849797.0,24978104.0,136555256.0,0.0,561082802.0,0.2743108173863813,0.0599937594517936,0.0015549312429522,0.0209964846409152,0.1147877491117917,0.4716437418338343,98858986.0,2024,11.9,5.61,0.99
013455,北海道,森町,136638,2272313900,555124291.0,183623773.0,16918401.0,23111584.0,355543376.0,0.0,1134321425.0,0.2442991221415316,0.080809158012896,0.0074454506483457,0.0101709468925045,0.1564675443828425,0.4991922220781205,309992093.0,2024,22.72,11.34,3.1
013463,北海道,八雲町,106317,1777482633,444032348.0,153004342.0,2328150.0,1864420.0,277578813.0,0.0,878808073.0,0.2498096688858056,0.0860792331578296,0.0013098018269076,0.0010489103889883,0.1561640084952661,0.4944116227547974,233261498.0,2024,17.77,8.79,2.33
013471,北海道,長万部町,24380,343218800,85244168.0,29633209.0,1211999.0,37505712.0,17723866.0,0.0,171318954.0,0.248366837714018,0.08633911953541,0.003531272179729,0.1092763916195732,0.0516401374283693,0.4991537584770997,17063866.0,2024,3.43,1.71,0.17
013617,北海道,江差町,13583,250451700,57950138.0,18361253.0,8325932.0,2930649.0,31988180.0,0.0,119556152.0,0.2313824901168568,0.0733125508830644,0.0332436633490609,0.0117014538132502,0.1277219519771676,0.4773621101394001,34663776.0,2024,2.5,1.2,0.35
013625,北海道,上ノ国町,1932,40160000,9972563.0,2799919.0,0.0,4559225.0,2166520.0,0.0,19498227.0,0.2483207918326693,0.0697190986055776,0.0,0.1135265189243028,0.0539472111553784,0.4855136205179283,4559225.0,2024,0.4,0.19,0.05
013633,北海道,厚沢部町,2336,42922000,9124080.0,3129751.0,0.0,485861.0,4984523.0,0.0,17724215.0,0.2125735054284516,0.0729171753413168,0.0,0.0113196262988677,0.1161297935790503,0.4129401006476865,2747460.0,2024,0.43,0.18,0.03
013641,北海道,乙部町,5205,88087300,18885626.0,4596852.0,751768.0,791119.0,16305627.0,0.0,41330992.0,0.214396695096796,0.052185184470406,0.0085343517169898,0.0089810789977669,0.1851075807749811,0.4692048910569401,10199120.0,2024,0.88,0.41,0.1
013676,北海道,奥尻町,2929,64533000,15103206.0,4261877.0,153572.0,852802.0,8692336.0,7488.0,29071281.0,0.2340384919343591,0.0660418235631382,0.0023797436970232,0.0132149752839632,0.1346959849999225,0.450487053135605,6566947.0,2024,0.65,0.29,0.07
013706,北海道,今金町,5927,60278600,13026205.0,6526432.0,0.0,2833125.0,5996350.0,0.0,28382112.0,0.2160999923687677,0.1082711277302392,0.0,0.0470005109607721,0.0994772605866758,0.4708488916464549,2833125.0,2024,0.6,0.28,0.03
013714,北海道,せたな町,9798,215565000,49400443.0,12408461.0,3929230.0,3069012.0,40795762.0,0.0,109602908.0,0.2291672720525131,0.0575625031892932,0.0182275879665066,0.0142370607473383,0.1892503977918493,0.5084448217475007,20662269.0,2024,2.16,1.1,0.21
013919,北海道,島牧村,1138,23161000,4247408.0,1484865.0,0.0,87031.0,3068198.0,0.0,8887502.0,0.1833862095764431,0.064110573809421,0.0,0.0037576529510815,0.1362302577608911,0.3874846940978368,8756567.0,2024,0.23,0.09,0.09
