団体コード,都道府県,市区町村,受入件数,受入額_円,返礼品調達費_円,送付費_円,広報費_円,決済費_円,事務費_円,その他費_円,経費合計_円,返礼品率,送付費率,広報費率,決済費率,事務費率,経費率合計,ポータル費_円,年度,受入額_億円,経費合計_億円,ポータル費_億円
242144,三重県,いなべ市,688,23538000,6427500.0,422721.0,0.0,196913.0,3309839.0,0.0,10356973.0,0.2730690797858781,0.0179590874330869,0.0,0.0083657490016144,0.14061683235619,0.4400107485767695,,2019,0.24,0.1,
242101,三重県,亀山市,49,2200875,518589.0,46841.0,0.0,20256.0,49050.0,0.0,634736.0,0.2356285568239904,0.0212828988470494,0.0,0.0092036121996933,0.0222865905605725,0.2884016584313057,,2019,0.02,0.01,
242039,三重県,伊勢市,2273,94074078,26113937.0,1798532.0,495040.0,847109.0,4192779.0,0.0,33447397.0,0.2775890825100619,0.0191182527454587,0.0052622360008673,0.0090047015927171,0.0445689087699589,0.355543181619064,,2019,0.94,0.33,
242161,三重県,伊賀市,6788,221495005,65794912.0,6699657.0,275000.0,1803911.0,31597097.0,0.0,106170577.0,0.2970491907932641,0.0302474405686936,0.0012415629869395,0.0081442513793934,0.1426537677452365,0.4793362134735273,,2019,2.21,1.06,
244724,三重県,南伊勢町,1431,47564000,11351359.0,1602680.0,523090.0,355306.0,5006170.0,0.0,18838605.0,0.2386544235135817,0.0336952316878311,0.0109976032293331,0.0074700613909679,0.1052512404339416,0.3960685602556555,,2019,0.48,0.19,
242080,三重県,名張市,9051,198331005,47751840.0,10061202.0,151000.0,1507712.0,33993097.0,0.0,93464851.0,0.2407684063316272,0.0507293451167657,0.000761353475721,0.0076019984873267,0.171395778486576,0.4712568818980169,,2019,1.98,0.93,
242021,三重県,四日市市,2014,55899000,14130774.0,1870318.0,2286596.0,567002.0,249385.0,0.0,19104075.0,0.2527911769441314,0.0334588811964435,0.0409058480473711,0.0101433299343458,0.0044613499347036,0.3417605860569956,,2019,0.56,0.19,
244414,三重県,多気町,22520,486856500,141305745.0,30861852.0,2685286.0,1938330.0,55220082.0,0.0,232011295.0,0.2902410566563248,0.0633900379269867,0.005515559512916,0.0039813168767388,0.1134216796941193,0.4765496506670856,,2019,4.87,2.32,
244431,三重県,大台町,874,23970000,7173637.0,905893.0,400000.0,269640.0,1903684.0,0.0,10652854.0,0.2992756362119316,0.0377927826449728,0.0166875260742594,0.0112490613266583,0.0794194409678765,0.4444244472256988,,2019,0.24,0.11,
244716,三重県,大紀町,1780,29981000,6948000.0,4632000.0,264000.0,245506.0,373050.0,0.0,12462556.0,0.2317467729562056,0.1544978486374704,0.008805576865348,0.0081887195223641,0.0124428804909776,0.4156817984723658,,2019,0.3,0.12,
242098,三重県,尾鷲市,5615,112730000,33687544.0,20212526.0,149440.0,824865.0,4576394.0,0.0,59450769.0,0.2988338862769449,0.1793003282178657,0.0013256453472899,0.0073171737780537,0.0405960613856116,0.527373095005766,,2019,1.13,0.59,
243442,三重県,川越町,107,1190000,375480.0,95534.0,49050.0,29830.0,0.0,0.0,549894.0,0.3155294117647059,0.0802806722689075,0.0412184873949579,0.0250672268907563,0.0,0.4620957983193277,,2019,0.01,0.01,
244708,三重県,度会町,447,10697000,3004950.0,526699.0,0.0,128311.0,49050.0,0.0,3709010.0,0.2809152098719267,0.0492380106571936,0.0,0.0119950453398149,0.0045853977750771,0.3467336636440123,,2019,0.11,0.04,
245615,三重県,御浜町,5263,70840000,23193658.0,5450020.0,977863.0,927653.0,2431718.0,0.0,32980912.0,0.327409062676454,0.076934217955957,0.0138038255223037,0.013095045172219,0.0343269057029926,0.4655690570299265,,2019,0.71,0.33,
242152,三重県,志摩市,5298,374302832,113700774.0,3509825.0,0.0,4750661.0,21707098.0,0.0,143668358.0,0.3037668013155722,0.0093769661887035,0.0,0.0126920252636506,0.0579934110677527,0.3838292038356792,,2019,3.74,1.44,
244422,三重県,明和町,59483,1216665959,185479134.0,65192747.0,7146400.0,142250545.0,8023638.0,0.0,408092464.0,0.1524486919585131,0.0535831108923135,0.0058737568410919,0.116918324169206,0.0065947747947142,0.335418658655839,,2019,12.17,4.08,
243434,三重県,朝日町,500,5293000,1431880.0,571508.0,24742.0,141156.0,523505.0,0.0,2692791.0,0.2705233327035707,0.107974305686756,0.0046744757226525,0.0266684300018892,0.0989051577555261,0.5087457018703948,,2019,0.05,0.03,
243035,三重県,木曽岬町,12487,175544000,44314420.0,10762742.0,76923.0,0.0,25225628.0,0.0,80379713.0,0.2524405277309393,0.0613107938750398,0.0004381978307432,0.0,0.1436997447933281,0.4578892642300506,,2019,1.76,0.8,
