都道府県,市区町村,年度,受入額_億円,受入件数
三重県,いなべ市,2008,0.0,4.0
三重県,いなべ市,2009,0.0,5.0
三重県,いなべ市,2010,0.01,4.0
三重県,いなべ市,2011,0.01,2.0
三重県,いなべ市,2012,0.0,3.0
三重県,いなべ市,2013,0.0,8.0
三重県,いなべ市,2014,0.01,23.0
三重県,いなべ市,2015,0.02,55.0
三重県,いなべ市,2016,0.2,898.0
三重県,いなべ市,2017,0.14,597.0
三重県,いなべ市,2018,0.23,1009.0
三重県,いなべ市,2019,0.24,688.0
三重県,いなべ市,2020,0.26,1144.0
三重県,いなべ市,2021,0.41,1357.0
三重県,いなべ市,2022,0.85,2826.0
三重県,いなべ市,2023,0.63,2317.0
三重県,いなべ市,2024,0.51,2231.0
三重県,三重県,2008,0.02,28.0
三重県,三重県,2009,0.01,10.0
三重県,三重県,2010,0.01,6.0
三重県,三重県,2011,0.02,20.0
三重県,三重県,2012,0.04,17.0
三重県,三重県,2013,0.02,29.0
三重県,三重県,2014,0.03,78.0
三重県,三重県,2015,0.34,411.0
三重県,三重県,2016,0.06,227.0
三重県,三重県,2017,0.09,175.0
三重県,三重県,2018,0.21,1119.0
三重県,三重県,2019,0.17,586.0
三重県,三重県,2020,0.45,1164.0
三重県,三重県,2021,0.18,1199.0
三重県,三重県,2022,0.11,656.0
三重県,三重県,2023,0.1,808.0
三重県,三重県,2024,0.25,1212.0
三重県,亀山市,2008,0.0,1.0
三重県,亀山市,2009,0.2,4.0
三重県,亀山市,2010,0.0,2.0
三重県,亀山市,2011,0.01,6.0
三重県,亀山市,2012,0.01,6.0
三重県,亀山市,2013,0.01,5.0
三重県,亀山市,2014,0.01,10.0
三重県,亀山市,2015,0.01,16.0
三重県,亀山市,2016,0.01,16.0
三重県,亀山市,2017,0.01,18.0
三重県,亀山市,2018,0.06,241.0
三重県,亀山市,2019,0.02,49.0
三重県,亀山市,2020,0.03,46.0
三重県,亀山市,2021,0.09,435.0
三重県,亀山市,2022,0.27,787.0
三重県,亀山市,2023,0.41,962.0
三重県,亀山市,2024,0.58,1103.0
三重県,伊勢市,2008,0.02,17.0
三重県,伊勢市,2009,0.05,44.0
三重県,伊勢市,2010,0.09,32.0
三重県,伊勢市,2011,0.04,50.0
三重県,伊勢市,2012,0.06,300.0
三重県,伊勢市,2013,0.1,675.0
三重県,伊勢市,2014,0.11,680.0
三重県,伊勢市,2015,0.25,568.0
三重県,伊勢市,2016,0.49,1492.0
三重県,伊勢市,2017,0.39,1512.0
三重県,伊勢市,2018,0.64,1989.0
三重県,伊勢市,2019,0.94,2273.0
三重県,伊勢市,2020,4.19,6170.0
三重県,伊勢市,2021,4.29,10426.0
三重県,伊勢市,2022,4.57,12693.0
三重県,伊勢市,2023,4.56,12045.0
三重県,伊勢市,2024,5.13,12246.0
三重県,伊賀市,2008,0.11,19.0
三重県,伊賀市,2009,0.03,6.0
三重県,伊賀市,2010,0.12,7.0
三重県,伊賀市,2011,0.11,7.0
