year,kifu_total_oku,kifu_total_yen,cases_man,control_users_man,keihi_rate_pct,portal_fee_oku,notes,source,fetched_at
2008,81,,5.4,,,,,総務省現況調査,2026-06-02
2009,77,,5.4,,,,,総務省現況調査,2026-06-02
2010,102,,9.6,,,,,総務省現況調査,2026-06-02
2011,121,,12,,,,,総務省現況調査（東日本大震災の影響で増），2026-06-02
2012,104,,12,,,,,総務省現況調査,2026-06-02
2013,145,,17,,,,,総務省現況調査,2026-06-02
2014,389,,191,,,,,総務省現況調査,2026-06-02
2015,1653,,726,,,,,総務省現況調査（ワンストップ特例・控除上限2倍化），2026-06-02
2016,2844,,1271,,,,,総務省現況調査,2026-06-02
2017,3653,,1730,,,,,総務省現況調査,2026-06-02
2018,5127,,2322,,,,,総務省現況調査（返礼品過熱ピーク），2026-06-02
2019,4875,,2333,,,,，総務省現況調査（3割・地場産品規制・初の減少），2026-06-02
2020,6725,,3489,,,,,総務省現況調査（コロナ禍で食品需要急増），2026-06-02
2021,8302,,4447,,,,,総務省現況調査,2026-06-02
2022,9654,,5184,,,,,総務省現況調査,2026-06-02
2023,11175,1117500000000,5894,1001,,,,,総務省現況調査（初の1兆円超），2026-06-02
2024,12728,1272800000000,5879,1080,46,1379,,総務省現況調査（過去最高・ポータル手数料11.5%）,2026-06-02
